time,servertime,latitude,longitude,HDT,SOG,COG,TWA,TWD,Heel,Trim Fore / Aft,VMG,GPS Satellites,GPS HAcc,Battery Charge,Battery 1 Voltage,Battery 1 Temperature,SOG_kts,VMG_kts,Fase,Regatista
2026-09-22 17:48:26.700,2026-09-22 17:32:44.457,37.748015,-0.829087,334.99,10.20868,43.74,87.92,131.65,70.98,-29.25,0.3719202,16,0.376,55,3.811,-241.0,19.844040531199997,0.7229533615679999,Través,2026-09-22-Alexkite
2026-09-22 17:48:27.700,2026-09-22 17:32:44.457,37.74802,-0.828997,6.25,9.004385,74.32,57.33,131.65,67.59,-34.38,4.861293,16,0.376,55,3.811,-241.0,17.503083738399997,9.44957578512,Ceñida,2026-09-22-Alexkite
2026-09-22 17:48:28.800,2026-09-22 17:32:44.457,37.748032,-0.828887,2.61,8.143102,83.74,47.91,131.65,68.32,-35.81,5.458537,16,0.376,55,3.812,-241.0,15.828887391680002,10.61052256208,Transición,2026-09-22-Alexkite
2026-09-22 17:48:29.700,2026-09-22 17:32:44.457,37.748036,-0.828791,6.34,8.897573,82.88,48.77,131.65,74.11,-31.07,5.864183,16,0.3718,55,3.809,-241.0,17.29545830032,11.39903348272,Ceñida,2026-09-22-Alexkite
2026-09-22 17:48:30.800,2026-09-22 17:32:44.457,37.74804,-0.82867,8.26,9.440717,87.85,43.8,131.65,71.5,-31.52,6.813511,16,0.3718,55,3.809,-241.1,18.35124333328,13.24437522224,Ceñida,2026-09-22-Alexkite
2026-09-22 17:48:31.800,2026-09-22 17:32:44.457,37.748041,-0.828557,10.79,9.531323,87.95,43.7,131.65,73.92,-29.74,6.889881,16,0.3799,55,3.811,-241.0,18.52736690032,13.39282628304,Ceñida,2026-09-22-Alexkite
2026-09-22 17:48:32.700,2026-09-22 17:32:44.458,37.748042,-0.828452,10.05,9.787365,89.72,41.94,131.65,74.94,-32.7,7.280642,16,0.386,55,3.809,-241.0,19.0250715816,14.152403145280001,Ceñida,2026-09-22-Alexkite
2026-09-22 17:48:33.800,2026-09-22 17:32:44.458,37.748042,-0.828325,10.93,10.20729,89.48,42.18,131.65,75.9,-28.88,7.564202,15,0.3928,55,3.811,-241.1,19.8413385936,14.70359841568,Ceñida,2026-09-22-Alexkite
2026-09-22 17:48:34.800,2026-09-22 17:32:44.458,37.74804,-0.828208,11.53,10.23622,90.26,41.4,131.65,79.16,-29.17,7.678896,16,0.3999,55,3.812,-241.0,19.8975738848,14.92654520064,Ceñida,2026-09-22-Alexkite
2026-09-22 17:48:35.700,2026-09-22 17:32:44.458,37.748039,-0.828103,13.58,10.23202,91.55,40.1,131.65,77.86,-31.47,7.827144,16,0.4048,55,3.812,-241.0,19.8894097568,15.21471559296,Ceñida,2026-09-22-Alexkite
2026-09-22 17:48:36.800,2026-09-22 17:32:44.458,37.748035,-0.827975,15.33,10.21113,91.84,39.8,131.65,79.68,-29.99,7.843909,15,0.4099,55,3.811,-240.9,19.848802939200002,15.24730407056,Ceñida,2026-09-22-Alexkite
