time,servertime,latitude,longitude,"HDT - Heading True","SOG - Speed over Ground","COG - Course over Ground","TWA - True Wind Angle","TWD - True Wind Direction",Heel,"Trim Fore / Aft","VMG - Velocity Made Good","GPS Satellites","GPS HAcc","Battery Charge","Battery 1 Voltage","Battery 1 Temperature"
"2026-09-22 14:05:08.699","2026-09-22 17:32:41.16",37.756723,-0.826505,355.79,0.02902245,355.79,,,88.06,11.23,,7,8.266,68,3.891,-242.2
"2026-09-22 14:05:09.699","2026-09-22 17:32:41.16",37.756724,-0.826574,355.84,0.03258462,355.84,,,88.06,11.23,,8,4.207,69,3.9,-242.5
"2026-09-22 14:05:10.699","2026-09-22 17:32:41.161",37.756731,-0.826585,355.72,0.02897071,355.72,,,88.04,11.21,,8,3.158,69,3.902,-242.2
"2026-09-22 14:05:11.699","2026-09-22 17:32:41.161",37.756735,-0.826588,355.75,0.0556801,355.75,,,88.04,11.21,,8,2.648,66,3.885,-242.1
"2026-09-22 14:05:12.699","2026-09-22 17:32:41.162",37.756737,-0.826589,355.78,0.04323536,355.78,,,88.05,11.22,,8,2.336,66,3.879,-242.1
"2026-09-22 14:05:13.699","2026-09-22 17:32:41.162",37.756738,-0.826590,355.68,0.02109795,355.68,,,88.05,11.23,,8,2.129,66,3.879,-242.2
"2026-09-22 14:05:14.699","2026-09-22 17:32:41.162",37.756739,-0.826591,355.52,0.01683865,355.52,,,88.04,11.24,,8,1.974,65,3.875,-242.1
"2026-09-22 14:05:15.699","2026-09-22 17:32:41.163",37.756739,-0.826591,355.52,0.02157593,355.52,,,88.04,11.23,,8,1.842,66,3.879,-242.1
"2026-09-22 14:05:16.699","2026-09-22 17:32:41.163",37.756741,-0.826591,355.59,0.02056716,355.59,,,88.05,11.21,,8,1.736,66,3.881,-242.1
"2026-09-22 14:05:17.699","2026-09-22 17:32:41.164",37.756741,-0.826591,355.55,0.01569265,355.55,,,88.03,11.17,,8,1.646,64,3.871,-242
"2026-09-22 14:05:18.699","2026-09-22 17:32:41.164",37.756743,-0.826591,355.43,0.02330793,355.43,,,88.01,11.2,,8,1.557,65,3.875,-242
"2026-09-22 14:05:19.699","2026-09-22 17:32:41.164",37.756744,-0.826592,355.43,0.02131251,355.43,,,88.03,11.2,,8,1.482,66,3.883,-242
"2026-09-22 14:05:20.699","2026-09-22 17:32:41.165",37.756745,-0.826592,355.54,0.04919071,355.54,,,88.03,11.21,,8,1.413,65,3.875,-242
"2026-09-22 14:05:21.699","2026-09-22 17:32:41.165",37.756745,-0.826592,355.66,0.02773484,355.66,,,88.04,11.23,,8,1.358,65,3.877,-241.9
"2026-09-22 14:05:22.699","2026-09-22 17:32:41.166",37.756746,-0.826593,355.93,0.01606624,355.93,,,88.04,11.23,,8,1.308,65,3.875,-242.1
"2026-09-22 14:05:23.699","2026-09-22 17:32:41.166",37.756747,-0.826593,355.99,0.02388457,355.99,,,88.03,11.2,,8,1.264,66,3.879,-242
"2026-09-22 14:05:24.699","2026-09-22 17:32:41.167",37.756751,-0.826591,355.56,0.03383947,355.56,,,88.01,11.2,,10,1.211,66,3.879,-242
"2026-09-22 14:05:25.699","2026-09-22 17:32:41.167",37.756753,-0.826588,355.3,0.03201243,355.3,,,88.01,11.22,,10,1.159,65,3.875,-242
"2026-09-22 14:05:26.699","2026-09-22 17:32:41.167",37.756755,-0.826586,355.39,0.02850485,355.39,,,88.04,11.21,,10,1.116,66,3.879,-241.8
"2026-09-22 14:05:27.699","2026-09-22 17:32:41.168",37.756757,-0.826585,355.46,0.03508836,355.46,,,88.08,11.21,,10,1.08,66,3.879,-241.8
"2026-09-22 14:05:28.699","2026-09-22 17:32:41.168",37.756759,-0.826584,355.68,0.02263121,355.68,,,88.07,11.23,,10,1.05,68,3.893,-241.6
"2026-09-22 14:05:29.699","2026-09-22 17:32:41.169",37.756760,-0.826583,355.78,0.019831,355.78,,,88.05,11.23,,10,1.021,66,3.879,-241.9
"2026-09-22 14:05:30.699","2026-09-22 17:32:41.169",37.756761,-0.826582,355.63,0.02781441,355.63,,,88.04,11.2,,12,0.9697,65,3.873,-241.6
"2026-09-22 14:05:31.699","2026-09-22 17:32:41.17",37.756762,-0.826582,355.57,0.01843762,355.57,,,88.01,11.2,,12,0.9238,66,3.885,-241.9
"2026-09-22 14:05:32.699","2026-09-22 17:32:41.17",37.756763,-0.826581,355.63,0.03006253,355.63,,,88.01,11.2,,12,0.8887,66,3.883,-241.6
"2026-09-22 14:05:33.699","2026-09-22 17:32:41.171",37.756763,-0.826581,355.65,0.029088,355.65,,,88.04,11.21,,13,0.8608,66,3.879,-241.8
"2026-09-22 14:05:34.699","2026-09-22 17:32:41.171",37.756764,-0.826580,355.56,0.03788162,355.56,,,88.05,11.22,,13,0.8359,66,3.883,-241.8
"2026-09-22 14:05:35.699","2026-09-22 17:32:41.172",37.756765,-0.826580,355.77,0.01817622,355.77,,,88.06,11.2,,14,0.814,67,3.891,-241.8
"2026-09-22 14:05:36.699","2026-09-22 17:32:41.172",37.756766,-0.826580,355.93,0.03428081,355.93,,,88.05,11.18,,15,0.7959,68,3.893,-241.8
"2026-09-22 14:05:37.699","2026-09-22 17:32:41.172",37.756766,-0.826580,355.83,0.0317908,355.83,,,88.06,11.22,,15,0.7778,66,3.881,-241.6
"2026-09-22 14:05:38.699","2026-09-22 17:32:41.173",37.756767,-0.826580,355.85,0.01759482,355.85,,,88.06,11.23,,15,0.7627,68,3.893,-241.6
"2026-09-22 14:05:39.699","2026-09-22 17:32:41.173",37.756767,-0.826580,355.72,0.02442367,355.72,,,88.04,11.21,,15,0.7476,67,3.891,-241.5
"2026-09-22 14:05:40.599","2026-09-22 17:32:41.174",37.756767,-0.826580,355.68,0.02803055,355.68,,,88.05,11.21,,15,0.731,66,3.881,-241.6
"2026-09-22 14:05:41.699","2026-09-22 17:32:41.174",37.756767,-0.826580,355.69,0.02747939,355.69,,,88.05,11.2,,15,0.7119,65,3.875,-241.6
"2026-09-22 14:05:42.699","2026-09-22 17:32:41.174",37.756767,-0.826580,355.77,0.02652804,355.77,,,88,11.22,,15,0.6968,66,3.883,-241.5
"2026-09-22 14:05:43.699","2026-09-22 17:32:41.175",37.756768,-0.826580,355.78,0.02498353,355.78,,,88,11.21,,15,0.6836,65,3.877,-241.5
"2026-09-22 14:05:44.699","2026-09-22 17:32:41.175",37.756768,-0.826580,355.52,0.01780511,355.52,,,87.99,11.2,,15,0.6719,66,3.881,-241.5
"2026-09-22 14:05:45.699","2026-09-22 17:32:41.176",37.756768,-0.826580,355.5,0.02175227,355.5,,,88.03,11.21,,15,0.6606,66,3.881,-241.4
"2026-09-22 14:05:46.699","2026-09-22 17:32:41.176",37.756768,-0.826580,355.7,0.03023705,355.7,,,88.04,11.22,,15,0.6499,66,3.883,-241.5
"2026-09-22 14:05:47.699","2026-09-22 17:32:41.176",37.756768,-0.826580,355.73,0.0234524,355.73,,,88.03,11.23,,15,0.6406,65,3.877,-241.5
"2026-09-22 14:05:48.699","2026-09-22 17:32:41.177",37.756769,-0.826581,355.68,0.0217435,355.68,,,88.01,11.24,,15,0.6318,65,3.877,-241.5
"2026-09-22 14:05:49.699","2026-09-22 17:32:41.177",37.756769,-0.826581,355.77,0.0186511,355.77,,,88.03,11.21,,15,0.6235,65,3.877,-241.5
"2026-09-22 14:05:50.699","2026-09-22 17:32:41.177",37.756769,-0.826581,355.76,0.0205933,355.76,,,88.04,11.2,,15,0.6157,65,3.875,-241.4
"2026-09-22 14:05:51.699","2026-09-22 17:32:41.178",37.756769,-0.826581,355.75,0.03078781,355.75,,,88.04,11.21,,15,0.6089,65,3.871,-241.4
"2026-09-22 14:05:52.699","2026-09-22 17:32:41.178",37.756769,-0.826581,355.83,0.02643317,355.83,,,88.04,11.24,,15,0.6016,68,3.895,-241.4
"2026-09-22 14:05:53.699","2026-09-22 17:32:41.179",37.756769,-0.826581,355.72,0.02868994,355.72,,,88.05,11.23,,14,0.5957,68,3.895,-241.4
"2026-09-22 14:05:54.699","2026-09-22 17:32:41.179",37.756769,-0.826581,355.87,0.02048287,355.87,,,88.05,11.23,,14,0.5908,66,3.879,-241.4
"2026-09-22 14:05:55.699","2026-09-22 17:32:41.179",37.756769,-0.826581,355.84,0.02680268,355.84,,,88.04,11.24,,14,0.5859,67,3.887,-241.4
"2026-09-22 14:05:56.699","2026-09-22 17:32:41.18",37.756769,-0.826582,355.73,0.02352403,355.73,,,88.01,11.24,,14,0.5806,67,3.887,-241.2
"2026-09-22 14:05:57.699","2026-09-22 17:32:41.18",37.756769,-0.826582,355.76,0.0177366,355.76,,,88.04,11.24,,14,0.5767,66,3.879,-241.2
"2026-09-22 14:05:58.699","2026-09-22 17:32:41.18",37.756770,-0.826582,355.43,0.02599601,355.43,,,88.04,11.23,,14,0.5747,66,3.881,-241.4
